text,sentiment
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,positive
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,neutral
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,neutral
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",neutral
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,negative
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,positive
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,positive
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,positive
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,positive
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,neutral
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),positive
@VirginAmerica is your website ever coming back online?,neutral
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,neutral
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,neutral
@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,negative
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,neutral
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,neutral
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",neutral
@VirginAmerica Lister to my show my on Monday 1230 130,neutral
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,neutral
@VirginAmerica Thank you for the follow,positive
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,negative
@VirginAmerica Only way to fly! #Elevate #Gold,positive
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,negative
@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,positive
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",positive
@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,positive
@VirginAmerica Keep up the great work :),positive
@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,positive
"@VirginAmerica Thanks so much for the awesome support, you guys rock!",positive
@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,negative
"@VirginAmerica it’s just a bug report, guys",neutral
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,positive
@VirginAmerica thanks so much!,positive
@VirginAmerica Very nicely done. 👏,positive
@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,positive
@VirginAmerica sounds like fun !,positive
@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,neutral
@virginamerica spruce moose!,neutral
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",negative
@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,positive
@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,positive
@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,positive
@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,negative
"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",positive
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,positive
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",neutral
@VirginAmerica any plans to start flying direct from DAL to LAS?,neutral
"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",positive
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,neutral
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,positive
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,neutral
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,neutral
@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,neutral
@VirginAmerica your inflight team makes the experience #amazing!,positive
@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,positive
@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,neutral
@VirginAmerica fav airline,positive
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,neutral
@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,neutral
@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,negative
@VirginAmerica Thank you!!,positive
@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,neutral
@VirginAmerica what is your policy on flying after surgery?,neutral
@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,neutral
@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,neutral
"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application.",neutral
"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ",neutral
@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,neutral
@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,positive
@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,positive
@VirginAmerica missed my flight. How does standby work?,neutral
.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps,positive
@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS,neutral
@VirginAmerica thank you! I absolutely will 😎,positive
@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund,neutral
@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.,neutral
"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage.",negative
@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel,positive
@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef,positive
"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer",neutral
"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks.",positive
@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,neutral
"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!",positive
@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo,neutral
"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!",positive
@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,positive
"@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114",neutral
@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!,negative
@VirginAmerica delayed to10.30!!,negative
@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank,negative
@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,positive
"@VirginAmerica Anytime, sugafly.",neutral
@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,positive
@VirginAmerica I need a receipt for a flight change. Can you send one?,neutral
"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?",negative
@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,positive
"@VirginAmerica CEO says #Southwest &amp; #jetblue have strayed from low cost model.
http://t.co/96Sctomh29",neutral
@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,neutral
@VirginAmerica Your planes are really pretty. Just thought u should know that. :),positive
@VirginAmerica when are you flying to hawaii,neutral
@VirginAmerica thank you,positive
@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,positive
@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!,negative
.@VirginAmerica If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…,neutral
"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!",positive
"@VirginAmerica announced New Route to Austin w/fares from $39/way. 
http://t.co/gA8pbamu0C",neutral
@VirginAmerica this is too cool!  Never been on ur planes but now I will!!,positive
@VirginAmerica great. Well deserved.,positive
@VirginAmerica got it. All set - Thanks!,positive
@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?,neutral
@VirginAmerica Giants and Virgin America. A match made in heaven.,positive
"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",positive
@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker,positive
@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!,positive
@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!,positive
@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek,neutral
"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",neutral
@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!,positive
@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49,positive
@VirginAmerica I miss the #nerdbird in San Jose,neutral
"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",positive
@VirginAmerica Congrats VX on the new route! ✈️🎉,positive
"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time.",negative
@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?,neutral
"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",positive
@VirginAmerica I love the dancing little richard. cool beans.,positive
@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!,positive
@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h,positive
@VirginAmerica On all your flights?,neutral
@VirginAmerica Dad on Segway is the best part of this whole infographic!,positive
@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),positive
@VirginAmerica wifi AND better seating.,positive
"@VirginAmerica Dear Virgin customer, while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!",neutral
@VirginAmerica should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs,neutral
@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!,negative
@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?,neutral
@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin,positive
@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.,positive
@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,positive
@VirginAmerica Are there any sign up bonuses to enroll in Elevate?,neutral
@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,positive
@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?,neutral
@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,positive
“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro,neutral
@united thanks,positive
@united Thanks for taking care of that MR!! Happy customer.,positive
@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united,negative
@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta,neutral
@united Thanks. It is on the same ticket.,positive
@united Just submitted my response on the link you sent.,neutral
"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519",neutral
@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,positive
"@united yes, a paper voucher that I got on January 26th 2015",neutral
"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",negative
"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?",neutral
@united and what am I suppose to do with that number?,neutral
@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.,neutral
"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations",neutral
"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU",positive
@united Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?,positive
@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.,negative
@united 6533 ORD to DCA,neutral
@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.,negative
"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!",neutral
"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did.",negative
@united despite my bag not making it to Newark good informative email tracking updates help!,positive
@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,negative
@united thanks for the info I already knew...,neutral
@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service,negative
@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice,negative
".@united it will be because I'm moving to @AmericanAir because of @united talk, no service",negative
@united please be good to me this weekend!,neutral
@united A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0,neutral
"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused",negative
@united Could this email be resent as it doesnt appear to have arrived.,negative
@united yes please! Trying to get to POP- in Newark now....,neutral
@united So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag....,negative
@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏,neutral
@united how about 3659 YUL-ORD?,neutral
"@united thanks, just sent :)",positive
@united how does it get Cancelled Flightled 10 hours before take off?,negative
@united Luckily I made my flights this time but was so disappointed with the lack of communication :(,negative
@united checking to see why flight 3466 (atl-ord) got Cancelled Flighted?,negative
@united Booked a flight home over 7 months ago and requested seats together for my fiancée and I. We got 2 middle seats. UNACCEPTABLE. The,negative
"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines",negative
@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...,positive
@united is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather,neutral
@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???,negative
@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.,positive
@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines,negative
@united so if I'm flying 1st class just one leg to Chicago but not on my long flight to China am I still able to use the lounge in Chicago,neutral
@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.,positive
@united thank you. Been trying for two days to set this up.,positive
@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer,positive
@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care,positive
"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!",positive
@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..,negative
@united I would like to know what's going on before his current flight lands.,neutral
@united thanks! Will you guys be getting the A380s anytime soon?,neutral
“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!,positive
@united I sent in my feedback.  Thank you.,neutral
@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!,positive
@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.,negative
@united what time does check in open for flight no UA80 from Manchester to Newark today ?,neutral
"@united If it's any consolation, your staff was stellar. Just not the hour+ delays I encountered with every one of my 4 flights.",negative
"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)",positive
@united But thanks for asking,positive
@united you too!,positive
@united is my favorite airline.,positive
@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?,neutral
"@united tried calling too, but w/25 min phn wait means we'd miss options anyway",negative
@united can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?,negative
"@united better train your support staff with appropriate decorum, consider revisiting your terrible ""provide a death certificate' policy",negative
@united Please help... I am in Ethiopia adopting a two year old child. Have an existing confirmation #. Need to add child to reservation.,neutral
@United an idea: monitor mileage members travel patterns enough to know when they change jobs/lose status...and make the transition easier.,neutral
@united UA276 sitting at EWR nearly an hour after sked.  Pilot says computers down but no clue when we will leave.  Can you help?,negative
@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f,positive
@united updated A320 aircraft has wifi and device entertainment but no outlets. I don't get it. How can I charge devices?,negative
@united Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.,positive
@united I appreciate your efforts getting me home!,positive
@united My mom left her Kindle on flight 1544 today. Burgundy case with a light. Seat 27D. Did anyone find it?,neutral
@united thank you.,positive
Need more info on that! @united: @momsgoodeats We have great amenity kits. PJ's not included. We status match AA. ^KP”,neutral
@united Do you have any flights with lie flat seating from STL to PDX around the date of March 5?,neutral
@united thanks we'll be in touch!,positive
@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!,positive
"@united @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?",neutral
@united can you assist with current flight status for flt# 1016 out of DFW tomorrow at 6:55am?,neutral
"@united caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating!",negative
Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”,positive
"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain",positive
@united These are great fares!!!!!,positive
@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother,positive
@united Greetings. UA Club member here. Any idea if I can use the Air Canada Lounge at YVR. Flying UA tomorrow.,neutral
@united thank you. I flew into Newark from Vail/Eagle.,positive
@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3,positive
@united Thank you for responding so quickly with a helpful tool! @dustyob,positive
@united what's a girl gotta do to get a flight name change when SHE bought one for a mean ex boyfriend and needs a girl's trip stat?!,neutral
@united Thank you!,positive
@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0,positive
"@united yes, after this awful weather it appears I can get home",neutral
"@united I need the phone number to baggage claim in LAX, my mom left her phone and someone called saying they would put it there but on",neutral
"@United will not have to honor absurdly low mistake fares.
http://t.co/2Z3Jv73IlW vía @usatoday",neutral
@united #albanyairport delayed departure to check bags at gate claiming space filled and walk on to open spaces a delay #poorcustomerservice,negative
@united you are the worst. I will avoid you like the plague.,negative
@united is the worst airline in the world.,negative
@united I will but right now I'm to angry,negative
@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home,negative
"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted.",negative
@united Pleased to be a Premier Platinum,positive
"@united hi guys, do you have a general enquires email address please? Thanks David.",neutral
@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?,negative
@united #UnitedAirlines Pls Fix #AspenBaggageFail issues. Had to pay my own way to #Aspen after flight Cancelled Flight. Left us in the cold in DEN.,negative
@united Does customer care have email or a phone rep that I can speak with? We had so many issues they can't be placed in 2000 characters?,negative
Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”,positive
"@united I am buying 2 yo own seat on 3 legs of intl trip, car seat? Required? If not- then allowed? Can child still sit w/mom after takeoff?",neutral
@United blocked me from DM'ing them because they would rather I complain about them in a public forum,negative
@united Big thanks to Ms. Winston for assisting me over the phone with a baggage claim issue today. She really went the extra mile!,positive
@united Ok thank again for your help!,positive
"@united This must be a drone “@united: @KeamBleam We understand your frustration. Our Bag team is working hard to get your bag(s) to you...""",negative
@united Please than Robin at EWR Premiere Desk for helping me get on a an earlier flight. She did the work.  Huge thanks.,positive
@united I did. The AC went on for about 20 minutes before returning to the Mojave Desert. #PressureCooker #HeatTrap,negative
"@united 8602947, jon at http://t.co/58tuTgli0D, thanks.",neutral
@united thank YOU for your kindness. Your agents went above &amp; beyond to get my stranded family home.,positive
"@united, this is the line in Denver to rebook due to weather issues. DO BETTER. http://t.co/tmccExYaaQ",negative
"@United the ones who suffer. I understand delays, I don't understand trying speed up a process that has been delays to this extent.",negative
"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?",negative
@united I wasn't asking for a full refund but delaying me 3 hours and giving no reason should be enough to give partial credit,negative
"@united since bulkhead seats cannot have bags on floor, why don't u reserve o/head space above those seats? In 1B on UA246 - not impressed",negative
@united great to hear Thankyou so much. Greatly appreciate your replies. Feel much more settled now.,positive
@united counter agents at RDU deserve a medal. #thankyou,positive
@united thank you. Literally called for preboarding as I ran up.,positive
@united what gate is ua5396 leaving from?,neutral
@united thank you for listening to my compliant and doing the right thing. I appreciate you working with me,positive
@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.,negative
@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail,positive
@united. It's not my first time flying to the US. I have medical info. Looking for practical like my adapted seat cushion allowed on?,neutral
"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily.",negative
@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.,positive
"@united Hi, Im flying SFO-LAX-SAL-CLO. My connecting time in LAX is 1h45m. Is it enough time? Do I have to collect my bag and recheck on AV?",neutral
"@United States faundation was by faith Judeo Cristian,@Not it was by ideologias.@ http://t.co/mWBk68k0A3",neutral
@united thank you very much for the help. We're do I pick up my bags aspen airport &amp; are they coming in today on flight911,positive
"@united  gate agent at EWR "" if you are disabled or in a wheel chair, it's time to board, please step"". STEP UP??? Lol",negative
@united arrived in YYZ to take our flight to Taiwan. Reservation missing our ticket numbers. Slow agent Sukhdeep caused us to miss our flt.,negative
